vid,name,authority,field_authority_link,lat,long,field_geo_alt_name
region,Algonquin Provincial Park,geonames,http://sws.geonames.org/5883649,45.75012,-78.49956,
region,Ausable Bayfield Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q17514094,,,
region,Baffin Island,geonames,http://sws.geonames.org/5889292,69.43864,-74.64725,
region,The Cactus Hills,geonames,http://sws.geonames.org/6163533,50.10006,-105.45113,
region,Cataraqui Region Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q60297081,,,
region,Catfish Creek Conserservation Authority,wikidata,https://www.wikidata.org/wiki/Q106289329,,,
region,Central Lake Ontario Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q5061329,,,
region,Credit Valley Conservation,wikidata,https://www.wikidata.org/wiki/Q16952621,,,
region,Crowe Valley Conservation,wikidata,https://www.wikidata.org/wiki/Q106291186,,,
region,Eastern,geonames,http://sws.geonames.org/7533608,22.27722,114.22519,Eastern
region,Baie-James,geonames,http://sws.geonames.org/8674037,52.33866,-75.2263,Baie-James
region,Essex Region Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q5399776,,,
region,Ganaraska Region Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q60795541,,,
region,Grand River Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q5595043,,,
region,Greater Toronto Area,geonames,http://sws.geonames.org/9972749,43.75919,-79.26636,
region,Grey Sauble Conservation,wikidata,https://www.wikidata.org/wiki/Q64728320,,,
region,Conservation Halton,wikidata,https://www.wikidata.org/wiki/Q5162925,,,
region,Hamilton Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q5644891,,,
region,Holland Marsh,geonames,http://sws.geonames.org/5976147,44.13341,-79.54962,
region,Kawartha Conservation,wikidata,https://www.wikidata.org/wiki/Q56278147,,,
region,Kettle Creek Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q106291305,,,
region,Lake Abitibi,geonames,http://sws.geonames.org/6048241,48.66667,-79.51667,
region,Lake Simcoe Region Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q6477782,,,
region,Lake Timiskaming,geonames,http://sws.geonames.org/6048739,47.13139,-79.44611,Lake Timiskaming
region,Languedoc-Roussillon,geonames,http://sws.geonames.org/3007669,43.66667,3.16667,
region,Long Point Region Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q59960815,,,
region,Lower Thames Valley Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q106291400,,,Lower Thames Valley Conservation Authority
region,Lower Trent Conservation,wikidata,https://www.wikidata.org/wiki/Q94803591,,,
region,Maitland Valley Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q106291499,,,
region,Malcolm Island,geonames,http://sws.geonames.org/6064736,50.64707,-126.99423,
region,Toronto,geonames,http://sws.geonames.org/8133394,43.69655,-79.42909,
region,Mississippi Valley Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q17014055,,,
region,Moose River,geonames,http://sws.geonames.org/6078317,51.33349,-80.39953,
region,Niagara Peninsula,geonames,http://sws.geonames.org/6087908,43.02482,-79.34379,
region,Niagara Peninsula Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q60296879,,,
region,Nottawasaga Valley Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q106291594,,,
region,Nunavik,wikidata,https://www.wikidata.org/wiki/Q1074865,,,
region,Otonabee Region Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q17111544,,,
region,Pacific Northwest,geonames,http://sws.geonames.org/9881905,45.99696,-118.49854,
region,Placentia Bay,geonames,http://sws.geonames.org/6105893,47.23915,-54.33975,
region,Qikiqtaaluk Region,wikidata,https://www.wikidata.org/wiki/Q1421013,,,
region,Quinte Conservation,wikidata,https://www.wikidata.org/wiki/Q7272394,,,
region,Raisin Region Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q106291646,,,
region,Rideau Valley Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q7332582,,,
region,Saugeen Valley Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q64742783,,,
region,Sicily,geonames,http://sws.geonames.org/2523118,37.62304,13.93457,
region,Slave River,geonames,http://sws.geonames.org/6149377,60.00029,-111.81882,
region,South Nation Conservation,wikidata,https://www.wikidata.org/wiki/Q106291694,,,
region,Southern Ontario,wikidata,https://www.wikidata.org/wiki/Q2033752,,,
region,St. Clair Region Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q7587579,,,
region,Toronto and Region Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q7826580,,,
region,Upper Thames River Conservation Authority,wikidata,https://www.wikidata.org/wiki/Q7898956,,,
region,Vancouver Island,geonames,http://sws.geonames.org/6173336,49.65064,-125.44939,
region,Wallonia,geonames,http://sws.geonames.org/3337387,50.5,4.75,
region,Winnipeg,geonames,http://sws.geonames.org/6183235,49.8844,-97.14704,
region,Rangoon,geonames,http://sws.geonames.org/1298822,17,96.16667,
region,Yoho National Park of Canada,geonames,http://sws.geonames.org/6185524,51.49997,-116.5022,
region,Glacier National Park of Canada,geonames,http://sws.geonames.org/5961613,51.26661,-117.51893,
region,Cannington Manor Provincial Park,geonames,http://sws.geonames.org/5914941,49.73333,-102.04676,
region,Great Slave Lake,geonames,http://sws.geonames.org/5965878,61.50015,-114.00123,
region,Red River,geonames,http://sws.geonames.org/6118634,50.39641,-96.81143,
region,Red River Floodway,geonames,http://sws.geonames.org/6118638,50.0906,-96.93422,